geoid,zcta,overlap_sq_m,overlap_sq_miles,tract_sq_m,share_of_tract_area
47157007900,38111,1603459.6641514942,0.6190992374646371,2737800.6811533417,0.5856743608800665
47157007900,38114,1134341.0170018503,0.43797151518764765,2737800.6811533417,0.4143256391199345
47157008000,38111,2681196.9803216727,1.0352159415796856,2681196.9803216723,1.0000000000000002
47157008110,38114,1940070.9790254347,0.7490655927272765,1940070.9790254335,1.0000000000000007
47157008120,38111,959140.3055023573,0.3703261422995211,3200939.0441219867,0.2996434147234591
47157008120,38114,2241798.738619634,0.865563331998773,3200939.0441219867,0.7003565852765423
47157008900,38128,3916790.616492189,1.5122813115864313,6127327.474242794,0.6392331131242859
47157008900,38108,2210536.857750606,0.8534930523151444,6127327.474242794,0.3607668868757142
47157006700,38111,559057.9325113633,0.21585347449291437,1874531.7474262875,0.29823871122958784
47157006700,38114,1315473.814914925,0.5079072794447185,1874531.7474262875,0.7017612887704126
47157006800,38114,1286009.8195337986,0.4965311672287809,1286009.819533799,0.9999999999999997
47157006900,38114,1920539.4881933166,0.7415244419574437,1920539.4881933166,1.0
47157007000,38111,1539202.4978911227,0.5942894068696869,1539202.4978911225,1.0000000000000002
47157010210,38127,3607031.5671795583,1.3926826740187688,3607031.5671795574,1.0000000000000002
47157007100,38111,1795929.9611167563,0.6934124345782304,1795929.9611167582,0.999999999999999
47157007200,38111,2224837.5019270475,0.8590145619002161,2224837.501927049,0.9999999999999993
47157020511,38128,3783441.1722344127,1.4607948033180684,3783441.172234413,0.9999999999999999
47157022322,38109,4149000.6776393233,1.601938117430613,4149000.67763932,1.0000000000000009
47157022330,38109,4212774.023389553,1.6265611438822505,4212774.023389546,1.0000000000000016
47157006300,38104,639323.6217528813,0.24684423036596165,1187870.058605165,0.5382100652520828
47157006300,38114,548546.4368522828,0.21179496332943387,1187870.058605165,0.46178993474791646
47157005000,38126,699029.8280174283,0.26989692548308375,858425.7090244468,0.8143160446718644
47157005000,38106,159395.88100701815,0.06154309371958455,858425.7090244468,0.1856839553281352
47157004300,72364,24378.848920117132,0.0094127261908374,1788975.2372179215,0.013627270189625021
47157004300,38103,1418213.9120750253,0.5475754527270937,1788975.2372179215,0.7927521200799424
47157004300,38126,179623.96814382108,0.06935320182628885,1788975.2372179215,0.10040606734342429
47157004300,38106,166758.508078958,0.06438581992460357,1788975.2372179215,0.0932145423870082
47157009901,38127,19052471.336184174,7.356200308468787,19052471.336184155,1.0000000000000009
47157022500,38132,1838296.5817022803,0.7097702782364501,15750863.193055196,0.11671084683871893
47157022500,38109,2023664.0472325,0.7813410568012104,15750863.193055196,0.12847956473425312
47157022500,38116,10897322.953718849,4.207479914764989,15750863.193055196,0.6918556030963211
47157022500,38131,582525.6230589304,0.22491440046933617,15750863.193055196,0.036983726918266624
47157022500,38106,409053.98734263715,0.15793662747338652,15750863.193055196,0.025970258412440248
47157020531,38002,3960890.112933281,1.5293082223529717,17610412.45549905,0.2249175096234869
47157020531,38128,12304136.288807081,4.750653580108852,17610412.45549905,0.6986852988196183
47157020531,38135,1345386.053758701,0.5194564594291375,17610412.45549905,0.0763971915568956
47157020532,38128,7336758.513423272,2.8327382987373917,7956450.286355825,0.9221145422104584
47157020532,38135,619691.7729325527,0.2392643311602538,7956450.286355825,0.07788545778954159
47157011700,38109,194606.55917499843,0.07513801256398511,3521562.7473228513,0.055261420323389515
47157011700,38106,3326956.1881478503,1.2845449656200325,3521562.7473228513,0.9447385796766098
47157010300,38127,5611827.689082694,2.1667387841230936,5611827.6890826905,1.0000000000000007
47157004500,38126,555455.0293452194,0.2144623858034468,555455.0293452189,1.0000000000000009
47157980300,72301,434267.22450462607,0.16767151276547304,97476209.4289318,0.004455109888338885
47157980300,38109,81264902.56261817,31.37655429316841,97476209.4289318,0.8336896052761159
47157980100,38132,175541.50154549617,0.06777695266049816,18924566.905483928,0.009275853044469306
47157980100,38116,6332945.541540481,2.445163943520538,18924566.905483928,0.33464150451471264
47157980100,38118,12416079.86239797,4.79387523550725,18924566.905483928,0.6560826424408192
47157004600,38126,302323.0378937269,0.1167275775078776,1281528.5437282636,0.23590815778023883
47157004600,38104,979205.5058345364,0.37807335945936205,1281528.5437282636,0.7640918422197609
47157003500,38104,1413184.6527549345,0.545633644847737,1413184.6527549343,1.0000000000000002
47157003600,38105,21475.71714206377,0.008291820744797828,1213205.3901516143,0.01770163347146022
47157003600,38104,1191729.6730095497,0.46012939914807033,1213205.3901516143,0.9822983665285391
47157003700,38103,87002.42910885467,0.03359182567736491,702166.7909074898,0.12390564497704536
47157003700,38126,111803.13814791777,0.04316743297073032,702166.7909074898,0.15922589845558188
47157003700,38104,503361.2236507174,0.19434885497810883,702166.7909074898,0.7168684565673727
47157000200,38107,1102092.9327446322,0.42552046024707707,1102092.9327446313,1.0000000000000009
47157011100,38112,345348.6437486151,0.13333985680104643,4059783.364958885,0.08506578127528058
47157011100,38108,3041967.308154169,1.174510143893878,4059783.364958885,0.7492930126297456
47157011100,38122,672467.4130560978,0.25964111973041387,4059783.364958885,0.16564120609497304
47157003800,38103,231288.48082070466,0.08930098169087715,716891.9429831285,0.32262669860435
