Estimate Year,Occupied housing units,RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,One race --,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino origin,"White alone, not Hispanic or Latino",AGE OF HOUSEHOLDER,Under 35 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 to 84 years,85 years and over,EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,YEAR HOUSEHOLDER MOVED INTO UNIT,Moved in 2015 or later,Moved in 2010 to 2014,Moved in 2000 to 2009,Moved in 1990 to 1999,Moved in 1980 to 1989,Moved in 1979 or earlier,Moved in 2017 or later,Moved in 2015 to 2016,Moved in 1989 or earlier,Moved in 2019 or later,Moved in 2015 to 2018,Moved in 2021 or later,Moved in 2018 to 2020,Moved in 2010 to 2017
2017,310,,,25.5%,32.9%,0.0%,25.8%,0.0%,15.8%,0.0%,15.5%,22.6%,,7.4%,17.1%,29.4%,24.2%,14.5%,7.4%,0.0%,,22.6%,17.7%,15.2%,44.5%,,0.0%,20.3%,29.4%,11.0%,18.4%,21.0%,,,,,,,,
2017,"1,043",,,248,460,9,226,0,49,51,122,167,,394,227,103,247,62,0,10,,115,180,489,259,,111,474,312,73,44,29,,,,,,,,
2017,"1,043",,,23.8%,44.1%,0.9%,21.7%,0.0%,4.7%,4.9%,11.7%,16.0%,,37.8%,21.8%,9.9%,23.7%,5.9%,0.0%,1.0%,,11.0%,17.3%,46.9%,24.8%,,10.6%,45.4%,29.9%,7.0%,4.2%,2.8%,,,,,,,,
2017,"1,333",,,262,393,9,510,25,70,64,214,163,,346,260,290,271,83,74,9,,354,387,349,243,,104,528,446,166,52,37,,,,,,,,
2017,"1,333",,,19.7%,29.5%,0.7%,38.3%,1.9%,5.3%,4.8%,16.1%,12.2%,,26.0%,19.5%,21.8%,20.3%,6.2%,5.6%,0.7%,,26.6%,29.0%,26.2%,18.2%,,7.8%,39.6%,33.5%,12.5%,3.9%,2.8%,,,,,,,,
2017,468.0,,,97.0,122.0,0.0,189.0,0.0,17.0,43.0,70.0,75.0,,47.0,70.0,115.0,104.0,74.0,49.0,9.0,,108.0,69.0,130.0,161.0,,29.0,66.0,164.0,129.0,43.0,37.0,,,,,,,,
2017,468,,,20.7%,26.1%,0.0%,40.4%,0.0%,3.6%,9.2%,15.0%,16.0%,,10.0%,15.0%,24.6%,22.2%,15.8%,10.5%,1.9%,,23.1%,14.7%,27.8%,34.4%,,6.2%,14.1%,35.0%,27.6%,9.2%,7.9%,,,,,,,,
2017,865.0,,,165.0,271.0,9.0,321.0,25.0,53.0,21.0,144.0,88.0,,299.0,190.0,175.0,167.0,9.0,25.0,0.0,,246.0,318.0,219.0,82.0,,75.0,462.0,282.0,37.0,9.0,0.0,,,,,,,,
2017,865,,,19.1%,31.3%,1.0%,37.1%,2.9%,6.1%,2.4%,16.6%,10.2%,,34.6%,22.0%,20.2%,19.3%,1.0%,2.9%,0.0%,,28.4%,36.8%,25.3%,9.5%,,8.7%,53.4%,32.6%,4.3%,1.0%,0.0%,,,,,,,,
2017,"1,080",,,175,205,51,367,0,272,10,425,50,,263,146,287,202,122,60,0,,534,203,312,31,,60,343,406,147,23,101,,,,,,,,
2017,"1,080",,,16.2%,19.0%,4.7%,34.0%,0.0%,25.2%,0.9%,39.4%,4.6%,,24.4%,13.5%,26.6%,18.7%,11.3%,5.6%,0.0%,,49.4%,18.8%,28.9%,2.9%,,5.6%,31.8%,37.6%,13.6%,2.1%,9.4%,,,,,,,,
2017,375.0,,,36.0,109.0,22.0,163.0,0.0,45.0,0.0,98.0,0.0,,11.0,47.0,79.0,128.0,68.0,42.0,0.0,,153.0,113.0,89.0,20.0,,11.0,60.0,126.0,60.0,17.0,101.0,,,,,,,,
2017,375,,,9.6%,29.1%,5.9%,43.5%,0.0%,12.0%,0.0%,26.1%,0.0%,,2.9%,12.5%,21.1%,34.1%,18.1%,11.2%,0.0%,,40.8%,30.1%,23.7%,5.3%,,2.9%,16.0%,33.6%,16.0%,4.5%,26.9%,,,,,,,,
2017,705.0,,,139.0,96.0,29.0,204.0,0.0,227.0,10.0,327.0,50.0,,252.0,99.0,208.0,74.0,54.0,18.0,0.0,,381.0,90.0,223.0,11.0,,49.0,283.0,280.0,87.0,6.0,0.0,,,,,,,,
2017,705,,,19.7%,13.6%,4.1%,28.9%,0.0%,32.2%,1.4%,46.4%,7.1%,,35.7%,14.0%,29.5%,10.5%,7.7%,2.6%,0.0%,,54.0%,12.8%,31.6%,1.6%,,7.0%,40.1%,39.7%,12.3%,0.9%,0.0%,,,,,,,,
2017,956.0,,,181.0,196.0,11.0,409.0,15.0,118.0,26.0,215.0,97.0,,241.0,159.0,208.0,188.0,96.0,46.0,18.0,,380.0,147.0,240.0,189.0,,61.0,457.0,256.0,109.0,47.0,26.0,,,,,,,,
2017,956,,,18.9%,20.5%,1.2%,42.8%,1.6%,12.3%,2.7%,22.5%,10.1%,,25.2%,16.6%,21.8%,19.7%,10.0%,4.8%,1.9%,,39.7%,15.4%,25.1%,19.8%,,6.4%,47.8%,26.8%,11.4%,4.9%,2.7%,,,,,,,,
2017,243.0,,,42.0,47.0,0.0,131.0,0.0,23.0,0.0,30.0,35.0,,29.0,40.0,67.0,57.0,33.0,12.0,5.0,,64.0,36.0,76.0,67.0,,22.0,78.0,61.0,33.0,36.0,13.0,,,,,,,,
2017,243,,,17.3%,19.3%,0.0%,53.9%,0.0%,9.5%,0.0%,12.3%,14.4%,,11.9%,16.5%,27.6%,23.5%,13.6%,4.9%,2.1%,,26.3%,14.8%,31.3%,27.6%,,9.1%,32.1%,25.1%,13.6%,14.8%,5.3%,,,,,,,,
2017,713.0,,,139.0,149.0,11.0,278.0,15.0,95.0,26.0,185.0,62.0,,212.0,119.0,141.0,131.0,63.0,34.0,13.0,,316.0,111.0,164.0,122.0,,39.0,379.0,195.0,76.0,11.0,13.0,,,,,,,,
2017,713,,,19.5%,20.9%,1.5%,39.0%,2.1%,13.3%,3.6%,25.9%,8.7%,,29.7%,16.7%,19.8%,18.4%,8.8%,4.8%,1.8%,,44.3%,15.6%,23.0%,17.1%,,5.5%,53.2%,27.3%,10.7%,1.5%,1.8%,,,,,,,,
2017,"1,405",,,384,234,6,570,7,129,75,172,341,,334,253,278,209,209,97,25,,354,253,378,420,,169,556,389,103,152,36,,,,,,,,
2017,"1,405",,,27.3%,16.7%,0.4%,40.6%,0.5%,9.2%,5.3%,12.2%,24.3%,,23.8%,18.0%,19.8%,14.9%,14.9%,6.9%,1.8%,,25.2%,18.0%,26.9%,29.9%,,12.0%,39.6%,27.7%,7.3%,10.8%,2.6%,,,,,,,,
2017,136.0,,,28.0,0.0,0.0,98.0,0.0,0.0,10.0,0.0,28.0,,25.0,44.0,11.0,24.0,32.0,0.0,0.0,,0.0,21.0,76.0,39.0,,13.0,44.0,0.0,11.0,57.0,11.0,,,,,,,,
2017,136,,,20.6%,0.0%,0.0%,72.1%,0.0%,0.0%,7.4%,0.0%,20.6%,,18.4%,32.4%,8.1%,17.6%,23.5%,0.0%,0.0%,,0.0%,15.4%,55.9%,28.7%,,9.6%,32.4%,0.0%,8.1%,41.9%,8.1%,,,,,,,,
2017,"1,269",,,356,234,6,472,7,129,65,172,313,,309,209,267,185,177,97,25,,354,232,302,381,,156,512,389,92,95,25,,,,,,,,
2017,"1,269",,,28.1%,18.4%,0.5%,37.2%,0.6%,10.2%,5.1%,13.6%,24.7%,,24.3%,16.5%,21.0%,14.6%,13.9%,7.6%,2.0%,,27.9%,18.3%,23.8%,30.0%,,12.3%,40.3%,30.7%,7.2%,7.5%,2.0%,,,,,,,,
2018,"2,427",,,"1,164",411,25,604,0,125,98,370,"1,013",,821,390,416,375,257,144,24,,81,211,548,"1,587",,,835,626,344,,,64,236,322,,,,,
2018,"2,427",,,48.0%,16.9%,1.0%,24.9%,0.0%,5.2%,4.0%,15.2%,41.7%,,33.8%,16.1%,17.1%,15.5%,10.6%,5.9%,1.0%,,3.3%,8.7%,22.6%,65.4%,,,34.4%,25.8%,14.2%,,,2.6%,9.7%,13.3%,,,,,
2018,658.0,,,296.0,30.0,13.0,291.0,0.0,0.0,28.0,52.0,272.0,,36.0,95.0,112.0,131.0,158.0,102.0,24.0,,51.0,107.0,115.0,385.0,,,132.0,110.0,170.0,,,0.0,47.0,199.0,,,,,
2018,658,,,45.0%,4.6%,2.0%,44.2%,0.0%,0.0%,4.3%,7.9%,41.3%,,5.5%,14.4%,17.0%,19.9%,24.0%,15.5%,3.6%,,7.8%,16.3%,17.5%,58.5%,,,20.1%,16.7%,25.8%,,,0.0%,7.1%,30.2%,,,,,
2018,"1,769",,,868,381,12,313,0,125,70,318,741,,785,295,304,244,99,42,0,,30,104,433,"1,202",,,703,516,174,,,64,189,123,,,,,
2018,"1,769",,,49.1%,21.5%,0.7%,17.7%,0.0%,7.1%,4.0%,18.0%,41.9%,,44.4%,16.7%,17.2%,13.8%,5.6%,2.4%,0.0%,,1.7%,5.9%,24.5%,67.9%,,,39.7%,29.2%,9.8%,,,3.6%,10.7%,7.0%,,,,,
2018,"1,584",,,802,357,0,194,14,111,106,192,756,,442,429,317,132,195,69,0,,106,56,345,"1,077",,,725,364,165,,,122,154,54,,,,,
2018,"1,584",,,50.6%,22.5%,0.0%,12.2%,0.9%,7.0%,6.7%,12.1%,47.7%,,27.9%,27.1%,20.0%,8.3%,12.3%,4.4%,0.0%,,6.7%,3.5%,21.8%,68.0%,,,45.8%,23.0%,10.4%,,,7.7%,9.7%,3.4%,,,,,
2018,143.0,,,61.0,8.0,0.0,55.0,6.0,0.0,13.0,0.0,61.0,,9.0,19.0,15.0,18.0,55.0,27.0,0.0,,34.0,17.0,22.0,70.0,,,22.0,24.0,54.0,,,0.0,7.0,36.0,,,,,
2018,143,,,42.7%,5.6%,0.0%,38.5%,4.2%,0.0%,9.1%,0.0%,42.7%,,6.3%,13.3%,10.5%,12.6%,38.5%,18.9%,0.0%,,23.8%,11.9%,15.4%,49.0%,,,15.4%,16.8%,37.8%,,,0.0%,4.9%,25.2%,,,,,
2018,"1,441",,,741,349,0,139,8,111,93,192,695,,433,410,302,114,140,42,0,,72,39,323,"1,007",,,703,340,111,,,122,147,18,,,,,
