Estimate Year,Occupied housing units,RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,One race --,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino origin,"White alone, not Hispanic or Latino",AGE OF HOUSEHOLDER,Under 35 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 to 84 years,85 years and over,EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,YEAR HOUSEHOLDER MOVED INTO UNIT,Moved in 2015 or later,Moved in 2010 to 2014,Moved in 2000 to 2009,Moved in 1990 to 1999,Moved in 1980 to 1989,Moved in 1979 or earlier,Moved in 2017 or later,Moved in 2015 to 2016,Moved in 1989 or earlier,Moved in 2019 or later,Moved in 2015 to 2018,Moved in 2021 or later,Moved in 2018 to 2020,Moved in 2010 to 2017
2019,295.0,,,61.0,44.0,0.0,163.0,0.0,23.0,4.0,39.0,45.0,,25.0,44.0,68.0,59.0,56.0,24.0,19.0,,80.0,60.0,64.0,91.0,,,35.0,79.0,63.0,,,11.0,38.0,69.0,,,,,
2019,295,,,20.7%,14.9%,0.0%,55.3%,0.0%,7.8%,1.4%,13.2%,15.3%,,8.5%,14.9%,23.1%,20.0%,19.0%,8.1%,6.4%,,27.1%,20.3%,21.7%,30.8%,,,11.9%,26.8%,21.4%,,,3.7%,12.9%,23.4%,,,,,
2019,630.0,,,78.0,139.0,6.0,267.0,0.0,114.0,26.0,161.0,46.0,,200.0,105.0,97.0,101.0,61.0,53.0,13.0,,258.0,96.0,152.0,124.0,,,300.0,117.0,69.0,,,71.0,73.0,0.0,,,,,
2019,630,,,12.4%,22.1%,1.0%,42.4%,0.0%,18.1%,4.1%,25.6%,7.3%,,31.7%,16.7%,15.4%,16.0%,9.7%,8.4%,2.1%,,41.0%,15.2%,24.1%,19.7%,,,47.6%,18.6%,11.0%,,,11.3%,11.6%,0.0%,,,,,
2019,"1,551",,,523,271,6,567,3,132,49,291,370,,333,221,393,256,198,98,52,,347,270,427,507,,,469,329,129,,,202,146,276,,,,,
2019,"1,551",,,33.7%,17.5%,0.4%,36.6%,0.2%,8.5%,3.2%,18.8%,23.9%,,21.5%,14.2%,25.3%,16.5%,12.8%,6.3%,3.4%,,22.4%,17.4%,27.5%,32.7%,,,30.2%,21.2%,8.3%,,,13.0%,9.4%,17.8%,,,,,
2019,236.0,,,66.0,0.0,0.0,162.0,0.0,0.0,8.0,0.0,66.0,,38.0,32.0,77.0,40.0,49.0,0.0,0.0,,21.0,34.0,102.0,79.0,,,50.0,28.0,54.0,,,28.0,15.0,61.0,,,,,
2019,236,,,28.0%,0.0%,0.0%,68.6%,0.0%,0.0%,3.4%,0.0%,28.0%,,16.1%,13.6%,32.6%,16.9%,20.8%,0.0%,0.0%,,8.9%,14.4%,43.2%,33.5%,,,21.2%,11.9%,22.9%,,,11.9%,6.4%,25.8%,,,,,
2019,"1,315",,,457,271,6,405,3,132,41,291,304,,295,189,316,216,149,98,52,,326,236,325,428,,,419,301,75,,,174,131,215,,,,,
2019,"1,315",,,34.8%,20.6%,0.5%,30.8%,0.2%,10.0%,3.1%,22.1%,23.1%,,22.4%,14.4%,24.0%,16.4%,11.3%,7.5%,4.0%,,24.8%,17.9%,24.7%,32.5%,,,31.9%,22.9%,5.7%,,,13.2%,10.0%,16.3%,,,,,
2020,"2,215",,,"1,198",259,0,543,0,130,85,317,"1,053",,661,455,380,250,271,174,24,,59,307,408,"1,441",,,638,398,296,,,,,291,59,533,,,
2020,"2,215",,,54.1%,11.7%,0.0%,24.5%,0.0%,5.9%,3.8%,14.3%,47.5%,,29.8%,20.5%,17.2%,11.3%,12.2%,7.9%,1.1%,,2.7%,13.9%,18.4%,65.1%,,,28.8%,18.0%,13.4%,,,,,13.1%,2.7%,24.1%,,,
2020,672.0,,,335.0,2.0,0.0,295.0,0.0,0.0,40.0,41.0,320.0,,42.0,78.0,181.0,119.0,163.0,65.0,24.0,,34.0,177.0,106.0,355.0,,,123.0,128.0,163.0,,,,,186.0,5.0,67.0,,,
2020,672,,,49.9%,0.3%,0.0%,43.9%,0.0%,0.0%,6.0%,6.1%,47.6%,,6.3%,11.6%,26.9%,17.7%,24.3%,9.7%,3.6%,,5.1%,26.3%,15.8%,52.8%,,,18.3%,19.0%,24.3%,,,,,27.7%,0.7%,10.0%,,,
2020,"1,543",,,863,257,0,248,0,130,45,276,733,,619,377,199,131,108,109,0,,25,130,302,"1,086",,,515,270,133,,,,,105,54,466,,,
2020,"1,543",,,55.9%,16.7%,0.0%,16.1%,0.0%,8.4%,2.9%,17.9%,47.5%,,40.1%,24.4%,12.9%,8.5%,7.0%,7.1%,0.0%,,1.6%,8.4%,19.6%,70.4%,,,33.4%,17.5%,8.6%,,,,,6.8%,3.5%,30.2%,,,
2020,"1,520",,,903,215,0,194,8,80,120,234,850,,488,449,278,105,169,31,0,,129,17,281,"1,093",,,398,280,158,,,,,113,140,431,,,
2020,"1,520",,,59.4%,14.1%,0.0%,12.8%,0.5%,5.3%,7.9%,15.4%,55.9%,,32.1%,29.5%,18.3%,6.9%,11.1%,2.0%,0.0%,,8.5%,1.1%,18.5%,71.9%,,,26.2%,18.4%,10.4%,,,,,7.4%,9.2%,28.4%,,,
2020,113.0,,,62.0,9.0,0.0,42.0,0.0,0.0,0.0,0.0,62.0,,0.0,10.0,7.0,16.0,58.0,22.0,0.0,,27.0,7.0,23.0,56.0,,,18.0,0.0,50.0,,,,,38.0,0.0,7.0,,,
2020,113,,,54.9%,8.0%,0.0%,37.2%,0.0%,0.0%,0.0%,0.0%,54.9%,,0.0%,8.8%,6.2%,14.2%,51.3%,19.5%,0.0%,,23.9%,6.2%,20.4%,49.6%,,,15.9%,0.0%,44.2%,,,,,33.6%,0.0%,6.2%,,,
2020,"1,407",,,841,206,0,152,8,80,120,234,788,,488,439,271,89,111,9,0,,102,10,258,"1,037",,,380,280,108,,,,,75,140,424,,,
2020,"1,407",,,59.8%,14.6%,0.0%,10.8%,0.6%,5.7%,8.5%,16.6%,56.0%,,34.7%,31.2%,19.3%,6.3%,7.9%,0.6%,0.0%,,7.2%,0.7%,18.3%,73.7%,,,27.0%,19.9%,7.7%,,,,,5.3%,10.0%,30.1%,,,
2020,"1,314",,,546,250,0,446,0,14,58,88,508,,475,217,80,190,138,135,79,,246,54,220,794,,,278,292,87,,,,,38,56,563,,,
2020,"1,314",,,41.6%,19.0%,0.0%,33.9%,0.0%,1.1%,4.4%,6.7%,38.7%,,36.1%,16.5%,6.1%,14.5%,10.5%,10.3%,6.0%,,18.7%,4.1%,16.7%,60.4%,,,21.2%,22.2%,6.6%,,,,,2.9%,4.3%,42.8%,,,
2020,75.0,,,22.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,22.0,,0.0,0.0,5.0,20.0,22.0,28.0,0.0,,36.0,0.0,14.0,25.0,,,14.0,18.0,13.0,,,,,10.0,0.0,20.0,,,
2020,75,,,29.3%,0.0%,0.0%,70.7%,0.0%,0.0%,0.0%,0.0%,29.3%,,0.0%,0.0%,6.7%,26.7%,29.3%,37.3%,0.0%,,48.0%,0.0%,18.7%,33.3%,,,18.7%,24.0%,17.3%,,,,,13.3%,0.0%,26.7%,,,
2020,"1,239",,,524,250,0,393,0,14,58,88,486,,475,217,75,170,116,107,79,,210,54,206,769,,,264,274,74,,,,,28,56,543,,,
2020,"1,239",,,42.3%,20.2%,0.0%,31.7%,0.0%,1.1%,4.7%,7.1%,39.2%,,38.3%,17.5%,6.1%,13.7%,9.4%,8.6%,6.4%,,16.9%,4.4%,16.6%,62.1%,,,21.3%,22.1%,6.0%,,,,,2.3%,4.5%,43.8%,,,
2020,"1,612",,,538,239,0,491,0,253,91,273,511,,518,389,173,214,268,50,0,,207,195,491,719,,,626,293,120,,,,,81,73,419,,,
2020,"1,612",,,33.4%,14.8%,0.0%,30.5%,0.0%,15.7%,5.6%,16.9%,31.7%,,32.1%,24.1%,10.7%,13.3%,16.6%,3.1%,0.0%,,12.8%,12.1%,30.5%,44.6%,,,38.8%,18.2%,7.4%,,,,,5.0%,4.5%,26.0%,,,
2020,171.0,,,23.0,3.0,0.0,145.0,0.0,0.0,0.0,0.0,23.0,,0.0,35.0,25.0,42.0,52.0,17.0,0.0,,45.0,11.0,33.0,82.0,,,0.0,29.0,70.0,,,,,60.0,0.0,12.0,,,
2020,171,,,13.5%,1.8%,0.0%,84.8%,0.0%,0.0%,0.0%,0.0%,13.5%,,0.0%,20.5%,14.6%,24.6%,30.4%,9.9%,0.0%,,26.3%,6.4%,19.3%,48.0%,,,0.0%,17.0%,40.9%,,,,,35.1%,0.0%,7.0%,,,
2020,"1,441",,,515,236,0,346,0,253,91,273,488,,518,354,148,172,216,33,0,,162,184,458,637,,,626,264,50,,,,,21,73,407,,,
2020,"1,441",,,35.7%,16.4%,0.0%,24.0%,0.0%,17.6%,6.3%,18.9%,33.9%,,35.9%,24.6%,10.3%,11.9%,15.0%,2.3%,0.0%,,11.2%,12.8%,31.8%,44.2%,,,43.4%,18.3%,3.5%,,,,,1.5%,5.1%,28.2%,,,
2020,"1,154",,,228,347,29,342,20,145,43,205,186,,326,270,150,271,35,102,0,,216,262,356,320,,,408,151,165,,,,,51,28,351,,,
2020,"1,154",,,19.8%,30.1%,2.5%,29.6%,1.7%,12.6%,3.7%,17.8%,16.1%,,28.2%,23.4%,13.0%,23.5%,3.0%,8.8%,0.0%,,18.7%,22.7%,30.8%,27.7%,,,35.4%,13.1%,14.3%,,,,,4.4%,2.4%,30.4%,,,
2020,101.0,,,33.0,0.0,0.0,59.0,0.0,9.0,0.0,9.0,33.0,,9.0,40.0,10.0,42.0,0.0,0.0,0.0,,19.0,18.0,31.0,33.0,,,9.0,27.0,21.0,,,,,19.0,0.0,25.0,,,
2020,101,,,32.7%,0.0%,0.0%,58.4%,0.0%,8.9%,0.0%,8.9%,32.7%,,8.9%,39.6%,9.9%,41.6%,0.0%,0.0%,0.0%,,18.8%,17.8%,30.7%,32.7%,,,8.9%,26.7%,20.8%,,,,,18.8%,0.0%,24.8%,,,
2020,"1,053",,,195,347,29,283,20,136,43,196,153,,317,230,140,229,35,102,0,,197,244,325,287,,,399,124,144,,,,,32,28,326,,,
2020,"1,053",,,18.5%,33.0%,2.8%,26.9%,1.9%,12.9%,4.1%,18.6%,14.5%,,30.1%,21.8%,13.3%,21.7%,3.3%,9.7%,0.0%,,18.7%,23.2%,30.9%,27.3%,,,37.9%,11.8%,13.7%,,,,,3.0%,2.7%,31.0%,,,
2020,"1,499",,,500,415,0,388,12,101,83,164,447,,460,270,221,273,131,95,49,,166,142,438,753,,,330,387,166,,,,,143,15,458,,,
2020,"1,499",,,33.4%,27.7%,0.0%,25.9%,0.8%,6.7%,5.5%,10.9%,29.8%,,30.7%,18.0%,14.7%,18.2%,8.7%,6.3%,3.3%,,11.1%,9.5%,29.2%,50.2%,,,22.0%,25.8%,11.1%,,,,,9.5%,1.0%,30.6%,,,
2020,366.0,,,111.0,97.0,0.0,121.0,5.0,27.0,5.0,44.0,94.0,,30.0,29.0,82.0,100.0,44.0,54.0,27.0,,62.0,20.0,148.0,136.0,,,18.0,144.0,81.0,,,,,62.0,9.0,52.0,,,
2020,366,,,30.3%,26.5%,0.0%,33.1%,1.4%,7.4%,1.4%,12.0%,25.7%,,8.2%,7.9%,22.4%,27.3%,12.0%,14.8%,7.4%,,16.9%,5.5%,40.4%,37.2%,,,4.9%,39.3%,22.1%,,,,,16.9%,2.5%,14.2%,,,
2020,"1,133",,,389,318,0,267,7,74,78,120,353,,430,241,139,173,87,41,22,,104,122,290,617,,,312,243,85,,,,,81,6,406,,,
2020,"1,133",,,34.3%,28.1%,0.0%,23.6%,0.6%,6.5%,6.9%,10.6%,31.2%,,38.0%,21.3%,12.3%,15.3%,7.7%,3.6%,1.9%,,9.2%,10.8%,25.6%,54.5%,,,27.5%,21.4%,7.5%,,,,,7.1%,0.5%,35.8%,,,
2020,"1,388",,,539,343,45,262,0,86,113,239,413,,220,459,286,246,168,9,0,,160,178,184,866,,,621,262,140,,,,,88,48,229,,,
2020,"1,388",,,38.8%,24.7%,3.2%,18.9%,0.0%,6.2%,8.1%,17.2%,29.8%,,15.9%,33.1%,20.6%,17.7%,12.1%,0.6%,0.0%,,11.5%,12.8%,13.3%,62.4%,,,44.7%,18.9%,10.1%,,,,,6.3%,3.5%,16.5%,,,
2020,387.0,,,200.0,10.0,0.0,177.0,0.0,0.0,0.0,43.0,157.0,,28.0,56.0,125.0,101.0,68.0,9.0,0.0,,58.0,28.0,50.0,251.0,,,102.0,66.0,91.0,,,,,49.0,8.0,71.0,,,
2020,387,,,51.7%,2.6%,0.0%,45.7%,0.0%,0.0%,0.0%,11.1%,40.6%,,7.2%,14.5%,32.3%,26.1%,17.6%,2.3%,0.0%,,15.0%,7.2%,12.9%,64.9%,,,26.4%,17.1%,23.5%,,,,,12.7%,2.1%,18.3%,,,
2020,"1,001",,,339,333,45,85,0,86,113,196,256,,192,403,161,145,100,0,0,,102,150,134,615,,,519,196,49,,,,,39,40,158,,,
2020,"1,001",,,33.9%,33.3%,4.5%,8.5%,0.0%,8.6%,11.3%,19.6%,25.6%,,19.2%,40.3%,16.1%,14.5%,10.0%,0.0%,0.0%,,10.2%,15.0%,13.4%,61.4%,,,51.8%,19.6%,4.9%,,,,,3.9%,4.0%,15.8%,,,
2020,"1,470",,,313,683,8,302,0,90,74,124,245,,461,228,194,504,56,15,12,,163,200,641,466,,,279,365,117,,,,,85,44,580,,,
2020,"1,470",,,21.3%,46.5%,0.5%,20.5%,0.0%,6.1%,5.0%,8.4%,16.7%,,31.4%,15.5%,13.2%,34.3%,3.8%,1.0%,0.8%,,11.1%,13.6%,43.6%,31.7%,,,19.0%,24.8%,8.0%,,,,,5.8%,3.0%,39.5%,,,
2020,376.0,,,165.0,91.0,0.0,76.0,0.0,44.0,0.0,71.0,123.0,,52.0,82.0,66.0,132.0,29.0,15.0,0.0,,88.0,41.0,97.0,150.0,,,56.0,85.0,44.0,,,,,56.0,15.0,120.0,,,
2020,376,,,43.9%,24.2%,0.0%,20.2%,0.0%,11.7%,0.0%,18.9%,32.7%,,13.8%,21.8%,17.6%,35.1%,7.7%,4.0%,0.0%,,23.4%,10.9%,25.8%,39.9%,,,14.9%,22.6%,11.7%,,,,,14.9%,4.0%,31.9%,,,
2020,"1,094",,,148,592,8,226,0,46,74,53,122,,409,146,128,372,27,0,12,,75,159,544,316,,,223,280,73,,,,,29,29,460,,,
2020,"1,094",,,13.5%,54.1%,0.7%,20.7%,0.0%,4.2%,6.8%,4.8%,11.2%,,37.4%,13.3%,11.7%,34.0%,2.5%,0.0%,1.1%,,6.9%,14.5%,49.7%,28.9%,,,20.4%,25.6%,6.7%,,,,,2.7%,2.7%,42.0%,,,
2020,"1,287",,,240,311,13,516,0,108,99,189,184,,291,308,235,236,123,86,8,,297,343,343,304,,,380,274,89,,,,,107,68,369,,,
2020,"1,287",,,18.6%,24.2%,1.0%,40.1%,0.0%,8.4%,7.7%,14.7%,14.3%,,22.6%,23.9%,18.3%,18.3%,9.6%,6.7%,0.6%,,23.1%,26.7%,26.7%,23.6%,,,29.5%,21.3%,6.9%,,,,,8.3%,5.3%,28.7%,,,
2020,420.0,,,114.0,98.0,0.0,152.0,0.0,20.0,36.0,59.0,95.0,,47.0,103.0,53.0,96.0,90.0,23.0,8.0,,62.0,62.0,148.0,148.0,,,68.0,73.0,70.0,,,,,107.0,24.0,78.0,,,
2020,420,,,27.1%,23.3%,0.0%,36.2%,0.0%,4.8%,8.6%,14.0%,22.6%,,11.2%,24.5%,12.6%,22.9%,21.4%,5.5%,1.9%,,14.8%,14.8%,35.2%,35.2%,,,16.2%,17.4%,16.7%,,,,,25.5%,5.7%,18.6%,,,
2020,867.0,,,126.0,213.0,13.0,364.0,0.0,88.0,63.0,130.0,89.0,,244.0,205.0,182.0,140.0,33.0,63.0,0.0,,235.0,281.0,195.0,156.0,,,312.0,201.0,19.0,,,,,0.0,44.0,291.0,,,
2020,867,,,14.5%,24.6%,1.5%,42.0%,0.0%,10.1%,7.3%,15.0%,10.3%,,28.1%,23.6%,21.0%,16.1%,3.8%,7.3%,0.0%,,27.1%,32.4%,22.5%,18.0%,,,36.0%,23.2%,2.2%,,,,,0.0%,5.1%,33.6%,,,
2020,"1,074",,,137,159,0,374,8,281,115,487,25,,320,217,237,122,134,44,0,,375,325,239,135,,,249,279,110,,,,,110,41,285,,,
2020,"1,074",,,12.8%,14.8%,0.0%,34.8%,0.7%,26.2%,10.7%,45.3%,2.3%,,29.8%,20.2%,22.1%,11.4%,12.5%,4.1%,0.0%,,34.9%,30.3%,22.3%,12.6%,,,23.2%,26.0%,10.2%,,,,,10.2%,3.8%,26.5%,,,
2020,272.0,,,19.0,71.0,0.0,138.0,0.0,44.0,0.0,50.0,13.0,,58.0,35.0,28.0,58.0,59.0,34.0,0.0,,71.0,94.0,66.0,41.0,,,31.0,64.0,21.0,,,,,94.0,0.0,62.0,,,
2020,272,,,7.0%,26.1%,0.0%,50.7%,0.0%,16.2%,0.0%,18.4%,4.8%,,21.3%,12.9%,10.3%,21.3%,21.7%,12.5%,0.0%,,26.1%,34.6%,24.3%,15.1%,,,11.4%,23.5%,7.7%,,,,,34.6%,0.0%,22.8%,,,
2020,802.0,,,118.0,88.0,0.0,236.0,8.0,237.0,115.0,437.0,12.0,,262.0,182.0,209.0,64.0,75.0,10.0,0.0,,304.0,231.0,173.0,94.0,,,218.0,215.0,89.0,,,,,16.0,41.0,223.0,,,
2020,802,,,14.7%,11.0%,0.0%,29.4%,1.0%,29.6%,14.3%,54.5%,1.5%,,32.7%,22.7%,26.1%,8.0%,9.4%,1.2%,0.0%,,37.9%,28.8%,21.6%,11.7%,,,27.2%,26.8%,11.1%,,,,,2.0%,5.1%,27.8%,,,
2020,950.0,,,157.0,158.0,7.0,425.0,0.0,157.0,46.0,198.0,135.0,,281.0,209.0,123.0,162.0,110.0,56.0,9.0,,274.0,157.0,205.0,314.0,,,308.0,176.0,98.0,,,,,56.0,44.0,268.0,,,
2020,950,,,16.5%,16.6%,0.7%,44.7%,0.0%,16.5%,4.8%,20.8%,14.2%,,29.6%,22.0%,12.9%,17.1%,11.6%,5.9%,0.9%,,28.8%,16.5%,21.6%,33.1%,,,32.4%,18.5%,10.3%,,,,,5.9%,4.6%,28.2%,,,
2020,308.0,,,101.0,40.0,0.0,144.0,0.0,18.0,5.0,32.0,87.0,,77.0,36.0,57.0,53.0,56.0,20.0,9.0,,61.0,44.0,62.0,141.0,,,41.0,62.0,49.0,,,,,56.0,0.0,100.0,,,
2020,308,,,32.8%,13.0%,0.0%,46.8%,0.0%,5.8%,1.6%,10.4%,28.2%,,25.0%,11.7%,18.5%,17.2%,18.2%,6.5%,2.9%,,19.8%,14.3%,20.1%,45.8%,,,13.3%,20.1%,15.9%,,,,,18.2%,0.0%,32.5%,,,
2020,642.0,,,56.0,118.0,7.0,281.0,0.0,139.0,41.0,166.0,48.0,,204.0,173.0,66.0,109.0,54.0,36.0,0.0,,213.0,113.0,143.0,173.0,,,267.0,114.0,49.0,,,,,0.0,44.0,168.0,,,
2020,642,,,8.7%,18.4%,1.1%,43.8%,0.0%,21.7%,6.4%,25.9%,7.5%,,31.8%,26.9%,10.3%,17.0%,8.4%,5.6%,0.0%,,33.2%,17.6%,22.3%,26.9%,,,41.6%,17.8%,7.6%,,,,,0.0%,6.9%,26.2%,,,
2020,"1,627",,,521,336,6,529,7,162,66,317,394,,376,209,342,281,191,82,146,,355,249,427,596,,,442,335,154,,,,,276,23,397,,,
2020,"1,627",,,32.0%,20.7%,0.4%,32.5%,0.4%,10.0%,4.1%,19.5%,24.2%,,23.1%,12.8%,21.0%,17.3%,11.7%,5.0%,9.0%,,21.8%,15.3%,26.2%,36.6%,,,27.2%,20.6%,9.5%,,,,,17.0%,1.4%,24.4%,,,
2020,304.0,,,74.0,0.0,0.0,222.0,0.0,0.0,8.0,0.0,74.0,,32.0,36.0,82.0,45.0,42.0,0.0,67.0,,28.0,30.0,159.0,87.0,,,45.0,37.0,48.0,,,,,101.0,0.0,73.0,,,
2020,304,,,24.3%,0.0%,0.0%,73.0%,0.0%,0.0%,2.6%,0.0%,24.3%,,10.5%,11.8%,27.0%,14.8%,13.8%,0.0%,22.0%,,9.2%,9.9%,52.3%,28.6%,,,14.8%,12.2%,15.8%,,,,,33.2%,0.0%,24.0%,,,
2020,"1,323",,,447,336,6,307,7,162,58,317,320,,344,173,260,236,149,82,79,,327,219,268,509,,,397,298,106,,,,,175,23,324,,,
2020,"1,323",,,33.8%,25.4%,0.5%,23.2%,0.5%,12.2%,4.4%,24.0%,24.2%,,26.0%,13.1%,19.7%,17.8%,11.3%,6.2%,6.0%,,24.7%,16.6%,20.3%,38.5%,,,30.0%,22.5%,8.0%,,,,,13.2%,1.7%,24.5%,,,
2021,"2,266",,,"1,091",375,0,527,0,143,130,223,"1,036",,672,414,336,277,371,178,18,,60,279,431,"1,496",,,518,391,273,,,,,302,147,635,,,
2021,"2,266",,,48.1%,16.5%,0.0%,23.3%,0.0%,6.3%,5.7%,9.8%,45.7%,,29.7%,18.3%,14.8%,12.2%,16.4%,7.9%,0.8%,,2.6%,12.3%,19.0%,66.0%,,,22.9%,17.3%,12.0%,,,,,13.3%,6.5%,28.0%,,,
2021,621.0,,,323.0,27.0,0.0,220.0,0.0,15.0,36.0,38.0,309.0,,57.0,38.0,133.0,87.0,225.0,63.0,18.0,,35.0,141.0,139.0,306.0,,,94.0,128.0,135.0,,,,,158.0,14.0,92.0,,,
2021,621,,,52.0%,4.3%,0.0%,35.4%,0.0%,2.4%,5.8%,6.1%,49.8%,,9.2%,6.1%,21.4%,14.0%,36.2%,10.1%,2.9%,,5.6%,22.7%,22.4%,49.3%,,,15.1%,20.6%,21.7%,,,,,25.4%,2.3%,14.8%,,,
2021,"1,645",,,768,348,0,307,0,128,94,185,727,,615,376,203,190,146,115,0,,25,138,292,"1,190",,,424,263,138,,,,,144,133,543,,,
2021,"1,645",,,46.7%,21.2%,0.0%,18.7%,0.0%,7.8%,5.7%,11.2%,44.2%,,37.4%,22.9%,12.3%,11.6%,8.9%,7.0%,0.0%,,1.5%,8.4%,17.8%,72.3%,,,25.8%,16.0%,8.4%,,,,,8.8%,8.1%,33.0%,,,
2021,"1,556",,,828,262,0,226,6,94,140,235,793,,429,555,259,115,179,19,0,,101,19,286,"1,150",,,412,269,145,,,,,99,213,418,,,
2021,"1,556",,,53.2%,16.8%,0.0%,14.5%,0.4%,6.0%,9.0%,15.1%,51.0%,,27.6%,35.7%,16.6%,7.4%,11.5%,1.2%,0.0%,,6.5%,1.2%,18.4%,73.9%,,,26.5%,17.3%,9.3%,,,,,6.4%,13.7%,26.9%,,,
2021,117.0,,,67.0,9.0,0.0,41.0,0.0,0.0,0.0,0.0,67.0,,0.0,28.0,0.0,15.0,55.0,19.0,0.0,,23.0,0.0,24.0,70.0,,,43.0,0.0,49.0,,,,,25.0,0.0,0.0,,,
2021,117,,,57.3%,7.7%,0.0%,35.0%,0.0%,0.0%,0.0%,0.0%,57.3%,,0.0%,23.9%,0.0%,12.8%,47.0%,16.2%,0.0%,,19.7%,0.0%,20.5%,59.8%,,,36.8%,0.0%,41.9%,,,,,21.4%,0.0%,0.0%,,,
2021,"1,439",,,761,253,0,185,6,94,140,235,726,,429,527,259,100,124,0,0,,78,19,262,"1,080",,,369,269,96,,,,,74,213,418,,,
2021,"1,439",,,52.9%,17.6%,0.0%,12.9%,0.4%,6.5%,9.7%,16.3%,50.5%,,29.8%,36.6%,18.0%,6.9%,8.6%,0.0%,0.0%,,5.4%,1.3%,18.2%,75.1%,,,25.6%,18.7%,6.7%,,,,,5.1%,14.8%,29.0%,,,
2021,"1,453",,,550,390,12,431,0,24,46,80,512,,550,212,118,199,201,111,62,,199,82,274,898,,,322,245,84,,,,,43,211,548,,,
2021,"1,453",,,37.9%,26.8%,0.8%,29.7%,0.0%,1.7%,3.2%,5.5%,35.2%,,37.9%,14.6%,8.1%,13.7%,13.8%,7.6%,4.3%,,13.7%,5.6%,18.9%,61.8%,,,22.2%,16.9%,5.8%,,,,,3.0%,14.5%,37.7%,,,
2021,102.0,,,29.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,29.0,,0.0,0.0,28.0,33.0,23.0,18.0,0.0,,26.0,0.0,35.0,41.0,,,15.0,20.0,19.0,,,,,18.0,0.0,30.0,,,
2021,102,,,28.4%,0.0%,0.0%,71.6%,0.0%,0.0%,0.0%,0.0%,28.4%,,0.0%,0.0%,27.5%,32.4%,22.5%,17.6%,0.0%,,25.5%,0.0%,34.3%,40.2%,,,14.7%,19.6%,18.6%,,,,,17.6%,0.0%,29.4%,,,
2021,"1,351",,,521,390,12,358,0,24,46,80,483,,550,212,90,166,178,93,62,,173,82,239,857,,,307,225,65,,,,,25,211,518,,,
2021,"1,351",,,38.6%,28.9%,0.9%,26.5%,0.0%,1.8%,3.4%,5.9%,35.8%,,40.7%,15.7%,6.7%,12.3%,13.2%,6.9%,4.6%,,12.8%,6.1%,17.7%,63.4%,,,22.7%,16.7%,4.8%,,,,,1.9%,15.6%,38.3%,,,
2021,"1,617",,,566,230,0,490,0,249,82,279,534,,440,412,248,193,294,19,11,,179,136,555,747,,,598,309,87,,,,,69,145,409,,,
2021,"1,617",,,35.0%,14.2%,0.0%,30.3%,0.0%,15.4%,5.1%,17.3%,33.0%,,27.2%,25.5%,15.3%,11.9%,18.2%,1.2%,0.7%,,11.1%,8.4%,34.3%,46.2%,,,37.0%,19.1%,5.4%,,,,,4.3%,9.0%,25.3%,,,
2021,171.0,,,39.0,24.0,0.0,108.0,0.0,0.0,0.0,0.0,39.0,,0.0,21.0,28.0,46.0,65.0,0.0,11.0,,0.0,11.0,46.0,114.0,,,0.0,60.0,30.0,,,,,60.0,11.0,10.0,,,
2021,171,,,22.8%,14.0%,0.0%,63.2%,0.0%,0.0%,0.0%,0.0%,22.8%,,0.0%,12.3%,16.4%,26.9%,38.0%,0.0%,6.4%,,0.0%,6.4%,26.9%,66.7%,,,0.0%,35.1%,17.5%,,,,,35.1%,6.4%,5.8%,,,
2021,"1,446",,,527,206,0,382,0,249,82,279,495,,440,391,220,147,229,19,0,,179,125,509,633,,,598,249,57,,,,,9,134,399,,,
2021,"1,446",,,36.4%,14.2%,0.0%,26.4%,0.0%,17.2%,5.7%,19.3%,34.2%,,30.4%,27.0%,15.2%,10.2%,15.8%,1.3%,0.0%,,12.4%,8.6%,35.2%,43.8%,,,41.4%,17.2%,3.9%,,,,,0.6%,9.3%,27.6%,,,
2021,"1,191",,,238,302,28,384,0,189,50,243,190,,418,249,124,229,41,105,25,,170,290,288,443,,,345,182,113,,,,,83,105,363,,,
2021,"1,191",,,20.0%,25.4%,2.4%,32.2%,0.0%,15.9%,4.2%,20.4%,16.0%,,35.1%,20.9%,10.4%,19.2%,3.4%,8.8%,2.1%,,14.3%,24.3%,24.2%,37.2%,,,29.0%,15.3%,9.5%,,,,,7.0%,8.8%,30.5%,,,
2021,97.0,,,13.0,0.0,0.0,71.0,0.0,13.0,0.0,13.0,13.0,,21.0,26.0,7.0,18.0,0.0,0.0,25.0,,18.0,21.0,32.0,26.0,,,8.0,18.0,13.0,,,,,45.0,0.0,13.0,,,
2021,97,,,13.4%,0.0%,0.0%,73.2%,0.0%,13.4%,0.0%,13.4%,13.4%,,21.6%,26.8%,7.2%,18.6%,0.0%,0.0%,25.8%,,18.6%,21.6%,33.0%,26.8%,,,8.2%,18.6%,13.4%,,,,,46.4%,0.0%,13.4%,,,
